"","lat","long","cluster"
"417",-6.36802,38.57747,4
"418",-6.36763,38.58226,4
"419",-6.36727,38.5789,4
"420",-6.36721,38.57887,4
"421",-6.36706,38.58124,4
"422",-6.36693,38.57857,4
"423",-6.36688,38.58342,4
"424",-6.36681,38.58076,4
"425",-6.36668,38.58179,4
"426",-6.36657,38.58172,4
"427",-6.36641,38.58199,4
"428",-6.36639,38.5794,4
"429",-6.36623,38.57925,4
"430",-6.36619,38.58044,4
"431",-6.36616,38.58125,4
"432",-6.36615,38.58604,4
"433",-6.36614,38.57864,4
"434",-6.36614,38.58142,4
"435",-6.36607,38.58076,4
"436",-6.36603,38.58569,4
"437",-6.36594,38.58083,4
"438",-6.36593,38.58077,4
"439",-6.36592,38.58524,4
"440",-6.3659,38.58537,4
"441",-6.36589,38.58492,4
"442",-6.3656,38.58194,4
"443",-6.36555,38.58105,4
"444",-6.3655,38.58104,4
"445",-6.36535,38.57947,4
"446",-6.36528,38.58057,4
"447",-6.36499,38.58145,4
"448",-6.36496,38.58571,4
"449",-6.36495,38.58122,4
"450",-6.3649,38.5815,4
"451",-6.36479,38.58442,4
"452",-6.3646,38.5811,4
"453",-6.36444,38.58712,4
"454",-6.3644,38.58098,4
"455",-6.36435,38.58505,4
"456",-6.36416,38.5871,4
"457",-6.36406,38.57957,4
"458",-6.36401,38.58701,4
"459",-6.3637,38.58121,4
"460",-6.36314,38.57972,4
"461",-6.36186,38.58039,4
"462",-6.36178,38.5797,4
"463",-6.36163,38.57984,4
"464",-6.36161,38.57944,4
"465",-6.36153,38.57991,4
"466",-6.3615,38.58334,4
"467",-6.36139,38.57931,4
"468",-6.36112,38.57943,4
"469",-6.36108,38.57923,4
"470",-6.36082,38.57788,4
"471",-6.3606,38.57733,4
"472",-6.36059,38.57761,4
"473",-6.36054,38.57757,4
"474",-6.36047,38.57767,4
"475",-6.36045,38.57739,4
"476",-6.36031,38.57915,4
"477",-6.3603,38.58089,4
"478",-6.36028,38.57859,4
"479",-6.36009,38.58005,4
"480",-6.36007,38.58051,4
"481",-6.35983,38.58125,4
"482",-6.35974,38.58127,4
"483",-6.35968,38.58091,4
"484",-6.35964,38.58093,4
"485",-6.35962,38.58146,4
"486",-6.35926,38.57912,4
"487",-6.35921,38.58311,4
"488",-6.35918,38.57877,4
"489",-6.35915,38.57924,4
"490",-6.35913,38.57925,4
"491",-6.35909,38.58213,4
"492",-6.35906,38.57886,4
"493",-6.35906,38.57886,4
"494",-6.35862,38.58187,4
"495",-6.35847,38.58111,4
"496",-6.35828,38.57905,4
"497",-6.35819,38.57853,4
"498",-6.35816,38.57826,4
"499",-6.35813,38.57833,4
"500",-6.35789,38.58187,4
"501",-6.35787,38.58062,4
"502",-6.35751,38.58001,4
"503",-6.35746,38.58259,4
"504",-6.35744,38.57952,4
"505",-6.35743,38.58196,4
"506",-6.35739,38.57956,4
"507",-6.35732,38.58232,4
"508",-6.35731,38.5796,4
"509",-6.3573,38.58007,4
"510",-6.35726,38.58133,4
"511",-6.35723,38.58291,4
"512",-6.35712,38.58097,4
"513",-6.35708,38.583,4
"514",-6.35663,38.57983,4
"515",-6.35596,38.58146,4
"516",-6.37642,38.5824,5
"517",-6.37635,38.58215,5
"518",-6.37624,38.58123,5
"519",-6.37624,38.58444,5
"520",-6.37623,38.58451,5
"521",-6.37618,38.58421,5
"522",-6.37615,38.5844,5
"523",-6.37614,38.58438,5
"524",-6.37612,38.58449,5
"525",-6.37611,38.58242,5
"526",-6.3761,38.58342,5
"527",-6.3761,38.58208,5
"528",-6.37608,38.58408,5
"529",-6.37605,38.58432,5
